> #PAC_Juan de Fuca	
268.524	-40.732
268.488	-40.282
268.452	-39.833
268.396	-39.349
268.342	-38.866
267.660	-38.918
266.978	-38.967
266.925	-38.429
266.004	-38.482
265.907	-37.717
265.870	-37.001
265.090	-36.985
264.311	-36.965
263.449	-36.921
262.587	-36.871
262.598	-36.294
261.583	-36.193
260.468	-36.133
259.355	-36.063
258.714	-35.997
258.074	-35.927
257.435	-35.854
256.798	-35.778
256.002	-35.694
255.207	-35.605
254.609	-35.524
254.012	-35.439
253.334	-35.394
252.657	-35.345
251.929	-35.240
251.203	-35.132
250.740	-34.540
250.720	-34.200
250.730	-33.920
250.790	-33.700
250.680	-33.390
250.590	-33.140
250.820	-33.020
251.030	-32.940
250.790	-32.660
250.560	-32.400
250.210	-32.120
249.790	-31.920
249.310	-31.720
248.800	-31.560
248.340	-31.560
> #CAP_SOM	
68.274	-6.811
67.811	-7.253
68.073	-7.648
67.642	-8.027
68.039	-8.492
67.565	-8.881
67.090	-9.270
67.378	-9.630
66.920	-9.990
66.460	-10.350
66.787	-10.762
66.167	-11.210
66.418	-11.559
65.698	-12.019
66.033	-12.426
66.369	-12.833
65.821	-13.268
66.210	-13.777
65.928	-13.979
66.208	-14.339
66.488	-14.698
66.888	-15.270
67.290	-15.821
67.383	-15.942
67.033	-16.139
67.410	-16.659
66.708	-17.090
66.143	-17.450
65.542	-17.783
65.007	-18.058
65.264	-18.443
65.522	-18.828
66.033	-19.577
66.428	-20.078
66.751	-19.870
67.040	-20.218
67.310	-20.073
67.593	-20.369
67.768	-20.280
67.897	-20.469
68.213	-20.291
68.559	-20.712
68.277	-20.878
68.653	-21.449
69.202	-22.088
68.797	-22.387
69.162	-22.830
69.558	-23.373
69.850	-23.709
69.402	-24.040
69.680	-24.369
69.939	-24.678
69.592	-24.970
70.090	-25.483
> #SOM_IND	
56.820	14.300
56.760	14.210
56.900	14.140
57.040	14.070
56.970	13.940
57.140	13.850
57.300	13.770
57.300	13.740
57.480	13.640
57.690	13.520
57.810	13.450
57.730	13.310
57.640	13.140
57.870	13.000
58.240	12.750
58.239	12.745
58.017	12.283
57.796	11.821
57.576	11.359
57.356	10.896
57.138	10.434
56.919	9.971
56.978	9.857
57.029	9.857
57.261	9.681
57.491	9.942
58.063	9.532
58.018	9.450
58.263	9.293
58.148	9.090
58.430	8.863
58.251	8.647
58.611	8.401
58.918	8.167
58.880	8.097
59.309	7.768
59.220	7.673
59.700	7.312
60.179	6.951
60.038	6.767
60.670	6.310
61.142	5.910
61.657	5.490
61.529	5.262
62.000	4.911
62.457	4.523
63.002	4.108
62.868	3.893
63.331	3.631
63.388	3.700
63.819	3.482
63.890	3.602
64.618	3.217
64.682	3.299
65.213	2.921
65.489	3.299
65.963	2.971
66.380	2.752
66.179	2.393
65.992	2.052
66.333	1.859
66.673	1.621
66.493	1.331
66.870	1.068
66.657	0.722
67.159	0.337
66.839	-0.039
67.209	-0.340
67.023	-0.578
67.662	-1.040
67.367	-1.440
67.929	-1.913
67.788	-2.088
68.249	-2.540
67.892	-2.888
68.270	-3.351
68.667	-3.771
68.349	-4.118
68.751	-4.549
68.199	-5.042
68.607	-5.472
68.219	-5.891
67.782	-6.259
> #SOM_ARAB	
56.265	14.623
56.208	14.643
56.179	14.621
56.057	14.641
55.822	14.692
55.668	14.722
55.631	14.681
55.480	14.729
55.278	14.788
55.108	14.851
55.047	14.712
54.958	14.727
54.731	14.801
54.549	14.870
54.511	14.760
54.451	14.621
54.387	14.640
54.332	14.671
54.287	14.681
54.249	14.691
54.193	14.710
54.149	14.733
54.069	14.772
54.018	14.657
53.929	14.489
53.862	14.351
53.818	14.361
53.579	14.441
53.358	14.512
53.220	14.562
53.211	14.538
53.122	14.559
52.907	14.622
52.737	14.681
52.667	14.561
52.547	14.597
52.299	14.663
52.139	14.689
51.940	14.353
51.763	14.028
51.570	13.667
51.449	13.458
51.343	13.272
51.253	13.122
51.079	13.192
50.842	13.279
50.661	13.362
50.573	13.218
50.429	13.273
50.310	13.313
50.252	13.229
50.167	13.123
50.061	13.167
49.849	13.251
49.680	13.313
49.593	13.169
49.472	13.008
49.430	13.042
49.349	12.897
49.278	12.802
49.070	12.853
48.882	12.908
48.803	12.770
48.699	12.658
48.567	12.691
48.448	12.729
48.349	12.573
48.268	12.602
48.142	12.641
48.048	12.671
47.991	12.581
47.901	12.461
47.788	12.492
47.649	12.519
47.588	12.441
47.539	12.369
47.319	12.430
47.161	12.463
47.130	12.359
47.049	12.388
46.992	12.403
46.930	12.300
46.849	12.211
46.717	12.248
46.579	12.292
46.511	12.202
46.429	12.087
46.311	12.142
46.198	12.172
46.150	12.112
46.110	12.058
45.851	12.100
45.650	12.152
45.637	12.159
45.602	12.073
45.522	11.983
45.428	12.018
45.328	12.052
45.281	11.998
45.097	11.999
44.913	12.012
44.882	12.019
44.780	12.022
44.513	12.013
44.049	12.008
43.650	12.013
42.841	11.795
> #SOM_ANT (E SWIR)	
32.126	-47.000
33.174	-47.264
33.359	-46.806
33.540	-46.346
33.818	-45.979
33.982	-46.081
34.087	-46.090
34.267	-46.212
34.504	-46.222
34.704	-45.971
34.868	-45.466
35.014	-45.106
35.182	-44.855
35.660	-44.866
35.973	-44.961
36.303	-44.966
36.677	-44.920
37.085	-44.804
37.508	-44.875
38.083	-44.619
38.194	-44.401
38.338	-44.055
39.073	-44.165
39.267	-43.726
39.459	-43.286
40.506	-43.438
41.558	-43.579
41.686	-43.117
41.812	-42.655
42.469	-42.730
42.572	-42.260
42.674	-41.790
42.774	-41.320
42.873	-40.850
44.009	-40.915
44.023	-40.671
44.686	-40.691
44.716	-40.369
45.303	-40.366
45.332	-40.109
46.074	-40.119
46.160	-39.494
46.244	-38.870
47.135	-38.764
48.023	-38.651
48.017	-38.478
48.633	-38.014
49.034	-38.000
49.037	-37.792
