> #NAZ_SA	
60.870	24.177
60.374	24.232
59.603	24.311
58.716	24.363
57.832	24.443
57.345	24.788
57.121	25.552
57.057	26.049
56.992	26.545
56.875	27.301
56.423	27.368
55.662	26.947
54.728	26.668
53.860	26.717
53.241	27.121
52.504	27.561
51.912	27.957
51.283	28.487
50.998	29.072
51.057	29.578
50.453	30.103
49.974	30.453
49.492	30.802
49.265	31.212
49.036	31.621
48.489	32.237
48.170	32.308
47.770	32.311
47.411	32.448
46.608	32.887
45.918	33.390
45.505	33.893
45.000	34.591
>	
333.929	-60.391
334.931	-59.973
335.544	-59.386
336.009	-58.921
336.181	-58.195
335.870	-57.425
335.767	-57.174
335.304	-56.734
334.851	-56.292
334.279	-55.840
333.586	-55.424
333.005	-55.232
332.396	-55.095
331.353	-55.005
330.511	-55.033
>	
120.452	21.632
120.344	21.202
120.290	20.631
120.502	20.255
120.441	19.937
120.115	19.487
119.795	18.878
119.279	18.201
119.161	17.629
119.248	16.840
119.255	16.556
>	
124.891	14.704
125.150	14.132
125.494	13.306
125.686	12.818
126.137	12.265
126.240	11.630
126.214	11.060
126.573	10.296
126.824	9.449
127.053	8.750
127.219	8.136
127.234	7.292
127.250	6.447
127.459	5.897
127.498	5.474
127.836	5.224
128.151	4.763
128.387	4.335
128.684	3.700
128.998	3.114
129.217	2.671
129.246	1.928
129.197	1.059
>	
129.197	1.059
129.989	0.684
130.546	0.475
131.102	0.266
131.738	0.150
132.373	0.034
132.515	0.017
132.824	-0.043
133.327	-0.146
133.899	0.057
134.471	0.259
134.938	0.421
135.656	-0.023
136.451	-0.228
136.943	-0.422
137.435	-0.616
138.054	-0.718
138.674	-0.820
138.793	-1.159
139.257	-1.390
139.805	-1.557
140.226	-1.767
140.837	-1.893
141.195	-2.167
141.594	-2.272
141.868	-2.398
142.246	-2.693
>	
155.454	-7.489
155.812	-7.706
156.047	-7.884
156.296	-8.174
>	
-56.925	-60.565
-56.269	-60.742
-55.810	-60.700
-55.067	-60.763
-54.309	-60.978
-54.301	-61.510
>	
164.066	55.209
163.340	55.817
162.592	56.420
162.960	56.836
163.336	57.250
163.721	57.664
164.115	58.076
164.518	58.487
164.930	58.897
166.258	59.376
167.623	59.842
169.027	60.293
169.865	61.017
170.743	61.736
>	
20.300	37.804
20.760	37.098
21.327	36.629
21.599	36.216
21.893	35.933
22.375	35.742
22.866	35.437
23.399	34.990
23.874	34.628
24.593	34.340
25.577	34.249
26.465	34.198
27.226	34.335
27.684	34.706
28.050	34.870
28.478	35.127
28.779	35.312
29.070	35.378
29.345	35.425
29.731	35.427
30.221	35.154
30.793	34.991
31.256	34.826
31.740	34.634
32.172	34.487
32.668	34.390
33.101	34.290
33.735	34.302
34.054	34.505
34.500	34.785
34.900	35.091
35.362	35.405
35.791	35.689
36.413	36.023
