> #NAmerica_Pacific (Canada/Alaska)	
119.255	16.556
119.728	16.407
120.201	16.257
120.673	16.107
121.145	15.955
121.616	15.802
122.086	15.648
122.555	15.493
123.024	15.337
123.492	15.180
123.959	15.023
124.425	14.864
124.891	14.704
>	
138.359	9.379
139.192	9.065
139.886	8.866
140.579	8.666
141.048	8.392
141.517	8.118
142.262	7.611
142.666	7.388
143.070	7.166
143.558	6.805
144.026	6.677
144.664	6.611
145.067	6.503
145.471	6.353
146.001	6.160
146.382	5.883
146.730	5.511
147.078	5.138
147.425	4.765
147.772	4.393
148.191	3.776
148.694	3.137
148.668	2.629
148.684	2.058
148.700	1.487
148.863	0.937
149.112	0.406
149.191	-0.143
149.251	-0.397
149.270	-0.650
>	
142.246	-2.693
142.394	-2.462
142.626	-1.916
142.922	-1.454
143.260	-1.160
143.808	-0.951
144.357	-0.742
145.033	-0.534
145.497	-0.473
145.919	-0.349
146.595	-0.290
147.059	-0.294
147.354	-0.275
147.859	-0.426
148.344	-0.409
148.724	-0.392
148.913	-0.457
149.270	-0.650
149.481	-0.818
149.769	-1.005
150.023	-1.021
150.344	-1.123
150.717	-1.224
151.089	-1.308
151.427	-1.460
151.816	-1.646
152.155	-1.865
152.578	-2.134
152.916	-2.150
153.119	-2.200
153.390	-2.436
153.542	-2.604
153.711	-2.688
153.882	-3.041
154.035	-3.327
154.256	-3.612
154.359	-3.948
154.700	-4.283
154.955	-4.550
154.992	-4.887
154.978	-5.240
154.592	-5.581
154.545	-5.901
154.533	-6.423
154.730	-6.858
154.927	-7.293
>	
125.679	78.133
126.457	77.684
127.181	77.234
127.634	76.643
128.050	76.050
128.519	75.494
128.955	74.938
129.595	74.479
130.200	74.018
131.263	73.371
132.483	72.695
133.267	72.282
134.017	71.865
134.854	71.268
135.595	70.692
135.962	70.530
136.758	69.954
137.368	69.635
138.523	69.042
138.963	68.477
139.381	67.910
140.330	67.447
141.242	66.979
142.503	66.654
143.731	66.318
144.344	65.803
144.932	65.286
146.595	64.733
148.191	64.162
149.721	63.574
151.189	62.971
152.596	62.353
153.946	61.721
155.337	61.607
156.717	61.479
158.045	61.407
159.367	61.322
160.363	61.313
161.359	61.296
162.353	61.272
163.345	61.241
165.013	61.338
166.691	61.414
167.696	61.506
168.706	61.590
169.722	61.667
170.743	61.736
>	
144.932	65.286
145.487	64.438
146.008	63.587
146.499	62.734
146.963	61.880
146.126	61.570
145.306	61.255
144.502	60.935
143.715	60.611
142.943	60.282
142.187	59.948
142.086	59.479
141.988	59.009
141.893	58.539
141.800	58.069
141.709	57.598
141.621	57.128
141.535	56.658
141.451	56.188
141.700	55.650
141.943	55.112
142.179	54.574
142.409	54.035
142.849	53.384
142.784	53.042
142.692	52.542
142.541	51.700
142.398	50.857
142.521	50.318
142.641	49.778
142.761	49.241
142.878	48.704
142.023	48.051
141.178	47.392
140.553	46.956
139.938	46.516
139.370	46.224
139.158	45.947
139.038	45.412
138.850	44.811
138.577	44.295
138.563	43.939
138.801	43.192
138.811	42.766
138.824	41.995
138.743	41.769
138.489	41.482
138.475	41.103
138.756	40.782
138.655	40.474
138.655	40.072
138.352	39.832
138.085	39.659
137.845	39.404
137.774	38.982
137.848	38.485
137.889	37.856
137.902	37.184
137.854	36.600
137.894	36.311
138.121	36.027
138.259	35.734
138.421	35.360
138.674	35.034
>	
42.033	11.577
41.442	11.317
41.117	10.732
40.792	10.146
40.449	9.796
40.107	9.446
39.790	9.071
39.473	8.696
39.157	8.296
38.841	7.895
38.478	7.447
38.115	6.998
37.849	6.477
37.583	5.956
36.914	5.958
36.601	5.484
36.290	5.009
35.782	5.099
35.275	5.188
34.767	5.277
34.260	5.366
33.752	5.455
33.244	5.543
32.736	5.630
32.227	5.717
31.753	5.097
31.279	4.477
30.471	4.235
30.475	3.524
30.478	2.812
31.049	2.648
31.620	2.483
31.122	1.960
30.625	1.437
30.246	0.749
29.867	0.060
29.630	-0.626
29.392	-1.313
29.130	-1.809
28.868	-2.306
28.910	-3.134
28.953	-3.962
29.280	-4.557
29.608	-5.151
29.604	-5.625
29.600	-6.099
30.045	-6.791
30.493	-7.483
31.042	-7.631
31.592	-7.778
32.117	-8.162
32.643	-8.546
33.099	-8.643
33.556	-8.741
33.818	-9.598
34.081	-10.455
34.709	-11.027
34.441	-11.717
34.172	-12.406
34.071	-13.167
34.461	-13.859
34.853	-14.549
34.729	-15.191
34.604	-15.834
34.901	-16.334
35.199	-16.833
35.200	-17.404
35.200	-17.976
34.599	-18.356
34.272	-18.688
33.943	-19.019
33.613	-19.350
33.282	-19.681
33.196	-20.512
33.110	-21.344
32.636	-21.492
32.160	-21.639
31.684	-21.784
31.207	-21.928
30.729	-22.071
30.250	-22.212
29.770	-22.352
29.289	-22.491
28.844	-22.971
28.396	-23.450
27.944	-23.928
27.489	-24.404
27.592	-24.847
27.696	-25.291
27.800	-25.733
27.905	-26.177
27.253	-26.474
26.596	-26.768
26.595	-27.477
26.594	-28.187
27.179	-28.625
27.769	-29.060
28.054	-29.454
28.341	-29.849
>	
42.033	11.577
41.649	12.189
41.206	11.811
40.857	12.205
40.507	12.600
40.091	13.209
40.614	13.742
40.275	14.300
40.026	14.719
39.777	15.138
39.671	15.772
40.172	16.304
40.251	16.785
40.331	17.266
39.987	17.949
39.590	18.419
39.298	19.030
39.298	19.030
38.826	19.448
38.396	19.907
38.075	20.389
37.975	21.021
37.825	21.843
37.540	22.494
37.042	23.226
36.571	23.639
36.407	24.133
36.242	24.626
36.066	25.055
35.889	25.484
35.546	25.919
35.200	26.353
34.875	26.808
34.547	27.262
34.257	27.885
34.428	28.414
34.601	28.943
34.776	29.472
34.952	30.000
35.142	30.702
35.309	31.383
35.470	32.004
35.571	32.755
35.648	33.232
35.726	33.710
36.024	34.096
36.325	34.482
36.396	35.285
36.431	35.752
36.413	36.023
>	
36.413	36.023
36.389	36.260
36.466	36.730
36.790	37.398
37.083	37.512
37.682	37.834
38.042	37.994
38.365	38.121
38.856	38.314
39.402	38.497
40.163	38.768
40.624	38.857
41.001	39.080
40.449	39.393
39.892	39.702
39.268	39.909
38.795	40.009
38.021	40.269
37.062	40.600
36.169	40.849
35.527	41.002
34.832	41.123
34.286	41.159
33.405	41.023
32.393	40.860
31.482	40.679
31.116	40.615
30.774	40.601
30.007	40.768
29.030	40.686
28.725	40.668
27.987	40.618
27.568	40.640
27.256	40.789
26.597	40.553
26.010	40.326
25.417	40.156
25.861	39.708
26.256	39.529
26.610	39.298
27.138	38.876
27.672	38.499
27.954	38.228
28.200	37.965
28.278	37.757
28.254	37.521
28.254	37.269
28.411	36.983
28.789	36.361
29.137	35.970
29.389	35.728
29.731	35.427
>	
41.001	39.080
41.026	38.849
41.236	38.616
41.839	38.355
42.289	38.213
42.797	37.991
43.176	37.685
43.647	37.407
44.020	37.098
44.357	36.572
44.515	36.015
44.671	35.458
44.836	35.025
45.000	34.591
